player_id,player_name,position
00-0019644,,TE
00-0019647,,RB
00-0019649,,RB
00-0019650,,WR
00-0019659,,TE
00-0019660,,WR
00-0019662,,WR
00-0019663,,WR
00-0019670,,WR
00-0019673,,RB
00-0019676,,K
00-0019682,,QB
00-0019693,,RB
00-0019703,,WR
00-0019708,,WR
00-0019709,,QB
00-0019721,,WR
00-0019722,,RB
00-0019726,,WR
00-0000727,,TE
00-0001545,,QB
00-0001980,,K
00-0002655,,K
00-0003220,,WR
00-0003315,,QB
00-0004112,,TE
00-0005932,,WR
00-0006208,,RB
00-0006223,,K
00-0006930,,RB
00-0007180,,RB
00-0007576,,QB
00-0010206,,QB
00-0010261,,QB
00-0010373,,K
00-0013467,,RB
00-0014234,,QB
00-0015959,,WR
00-0015980,,WR
00-0016373,,WR
00-0017239,,RB
00-0018976,,TE
00-0018997,,TE
00-0019008,,TE
00-0019038,,WR
00-0019041,,QB
00-0019054,,WR
00-0019062,,TE
00-0019164,,WR
00-0019172,,FB
00-0019268,,RB
00-0019353,,FB
00-0019404,,TE
00-0019423,,RB
00-0019453,,RB
00-0019468,,WR
00-0019487,,WR
00-0019510,,WR
00-0019534,,RB
00-0019539,,WR
00-0019547,,WR
00-0019558,,TE
00-0019598,,TE
00-0019610,,RB
00-0019633,,QB
00-0019661,,WR
00-0019712,,RB
00-0019770,,K
00-0019794,,RB
00-0019826,,RB
00-0019831,,RB
00-0019862,,RB
00-0019863,,RB
00-0019889,,RB
00-0019913,,TE
00-0019916,,FB
00-0019976,,WR
00-0020018,,WR
00-0020050,,TE
00-0020090,,TE
00-0020094,,RB
00-0020112,,RB
00-0020171,,WR
00-0020181,,RB
00-0020187,,TE
00-0020226,,WR
00-0020245,,QB
00-0020256,,WR
00-0020268,,TE
00-0020270,,RB
00-0020272,,WR
00-0020273,,WR
00-0020285,,TE
00-0020305,,QB
00-0020308,,QB
00-0020320,,WR
00-0020332,,TE
00-0020337,,WR
00-0020340,,WR
00-0020342,,TE
00-0020343,,WR
00-0020361,,WR
00-0020370,,WR
00-0020381,,WR
00-0020387,,WR
00-0020391,,RB
00-0020397,,WR
00-0020403,,RB
00-0020404,,QB
00-0020405,,QB
00-0020415,,WR
00-0020417,,RB
00-0020425,,WR
00-0020427,,WR
00-0020430,,RB
00-0020434,,QB
00-0020438,,WR
00-0020446,,WR
00-0020448,,RB
00-0020455,,TE
00-0020462,,RB
00-0020471,,RB
00-0020474,,RB
00-0020476,,TE
00-0020485,,WR
00-0020490,,WR
00-0020494,,WR
00-0020497,,WR
00-0020498,,WR
00-0020507,,FB
00-0020513,,WR
00-0020514,,RB
00-0020516,,TE
00-0020525,,WR
00-0020527,,RB
00-0020531,D.Brees,QB
00-0020536,,RB
00-0004774,,RB
00-0007447,,RB
00-0014384,,QB
00-0018588,,RB
00-0018981,,WR
00-0019035,,TE
00-0019065,,TE
00-0019302,,WR
00-0019454,,WR
00-0019569,,TE
00-0019599,,QB
00-0019600,,WR
00-0019625,,WR
00-0019725,,RB
00-0019764,,QB
00-0019808,,RB
00-0020021,,WR
00-0020022,,RB
00-0020062,,WR
00-0020126,,QB
00-0020159,,WR
00-0020173,,RB
00-0020274,,TE
00-0020315,,RB
00-0020345,,TE
00-0020373,,TE
00-0020376,,RB
00-0020407,,RB
00-0020428,,WR
00-0020452,,WR
00-0020464,,WR
00-0020479,,RB
00-0020480,,QB
00-0020483,,QB
00-0020484,,WR
00-0020520,,WR
00-0020542,,WR
00-0020562,,QB
00-0020564,,RB
00-0020583,,WR
00-0020608,,QB
00-0020676,,WR
00-0020692,,WR
00-0020700,,RB
